"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"2066655","97c614494d35b5f08d7bbb7b60677f48bc54274f785ef7513c710b8c922c6e723b04fb244b4aed11ce9c93eb8183c8f79d1e796f02517451b03edb03418f0bd5","2025-05-20T01:25:00.000","1","DRIVER",,"1970063",,"FORD","ESCAPE","IL","2022","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,"Y","Y","Y",,,"SIDE-LEFT-FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066656","97c614494d35b5f08d7bbb7b60677f48bc54274f785ef7513c710b8c922c6e723b04fb244b4aed11ce9c93eb8183c8f79d1e796f02517451b03edb03418f0bd5","2025-05-20T01:25:00.000","2","DRIVER",,"1970064",,"MAZDA","CX-5","IL","2021","UNKNOWN","PASSENGER","PERSONAL","N","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066646","07d21222e2fff6f7c364670df3f1826133df6ef9529d9b73beebe814dd20255835a38c7eb868f58fa30f067aac44ed8c815f6958a89f29a6be6d8c8031b29541","2025-05-19T23:55:00.000","1","DRIVER",,"1970055",,"TOYOTA","VENZA","IL","2010","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","Y",,"1",,"unknown","unknown",,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066647","07d21222e2fff6f7c364670df3f1826133df6ef9529d9b73beebe814dd20255835a38c7eb868f58fa30f067aac44ed8c815f6958a89f29a6be6d8c8031b29541","2025-05-19T23:55:00.000","2","PARKED",,"1970057",,"TOYOTA","FJ CRUISER","IL","2010","OTHER","SPORT UTILITY VEHICLE (SUV)","PERSONAL","S","PARKED","Y",,"0",,"unknown","unknown",,,,,,,,"Y","Y","Y","Y","Y",,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066648","07d21222e2fff6f7c364670df3f1826133df6ef9529d9b73beebe814dd20255835a38c7eb868f58fa30f067aac44ed8c815f6958a89f29a6be6d8c8031b29541","2025-05-19T23:55:00.000","3","PARKED",,"1970060",,"KIA","FORTE","IL","2010","UNKNOWN","PASSENGER","PERSONAL","S","PARKED","Y",,"0",,"unknown","unknown",,,,,,,,"Y","Y","Y","Y","Y",,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066639","9d118f8c152629c8d4c93371ec80a44ead26144b8850391103e0566044084394abbf73338a3ebc2abb1370d923bab03af80ad4cb2bcbf6d9314a70663cb81ae8","2025-05-19T23:15:00.000","1","DRIVER",,"1970045",,"FORD","EDGE","IL","2013","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066640","9d118f8c152629c8d4c93371ec80a44ead26144b8850391103e0566044084394abbf73338a3ebc2abb1370d923bab03af80ad4cb2bcbf6d9314a70663cb81ae8","2025-05-19T23:15:00.000","2","DRIVER","1","1970047",,"MERCEDES-BENZ","S-CLASS","IL","2016","NONE","PASSENGER","PERSONAL","S","STRAIGHT AHEAD",,,"2",,,,,,,,,"Y","Y","Y",,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066629","08d6553c060da826477340087e93e129058d563e55c64e357bf621c76bdfb8d3bb36d25b4d2eb4e13dbe8de145f31a80e02fc52e346e0cfb317d699fd9826caa","2025-05-19T22:55:00.000","1","DRIVER",,"1970037",,"NISSAN","OTHER (EXPLAIN IN NARRATIVE)","IL","2013","NONE","PASSENGER","UNKNOWN/NA","S","BACKING",,,"1",,,,,,,,,,"N",,,,,,,"Y","REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066630","08d6553c060da826477340087e93e129058d563e55c64e357bf621c76bdfb8d3bb36d25b4d2eb4e13dbe8de145f31a80e02fc52e346e0cfb317d699fd9826caa","2025-05-19T22:55:00.000","2","PARKED",,"1970040",,"KIA","FORTE","IL","2021","NONE","PASSENGER","NOT IN USE","S","PARKED",,,"0",,,,"Y",,,,,,,,,,,,,,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2066650","744e43270353f6103e28c4e04cf1c4a0fbbe48c5514a5060ba688a61445e90bce65b412366e69e3456a2b3b36a0005eadfc0ba770f606c4327bf7ebd6920acae","2025-05-19T22:42:00.000","1","DRIVER",,"1970056",,"HONDA","CR-V","IL","2019","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
