"crash_record_id","crash_date_est_i","crash_date","posted_speed_limit","traffic_control_device","device_condition","weather_condition","lighting_condition","first_crash_type","trafficway_type","lane_cnt","alignment","roadway_surface_cond","road_defect","report_type","crash_type","intersection_related_i","private_property_i","hit_and_run_i","damage","date_police_notified","prim_contributory_cause","sec_contributory_cause","street_no","street_direction","street_name","beat_of_occurrence","photos_taken_i","statements_taken_i","dooring_i","work_zone_i","work_zone_type","workers_present_i","num_units","most_severe_injury","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident","injuries_no_indication","injuries_unknown","crash_hour","crash_day_of_week","crash_month","latitude","longitude","location"
"97c614494d35b5f08d7bbb7b60677f48bc54274f785ef7513c710b8c922c6e723b04fb244b4aed11ce9c93eb8183c8f79d1e796f02517451b03edb03418f0bd5",,"2025-05-20T01:25:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","NO INJURY / DRIVE AWAY","Y",,,"OVER $1,500","2025-05-20T01:25:00.000","DISREGARDING TRAFFIC SIGNALS","FAILING TO YIELD RIGHT-OF-WAY","7900","S","COTTAGE GROVE AVE","624",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","1","3","5","41.7511943382","-87.6053673263","POINT (-87.60536732633 41.751194338222)"
"07d21222e2fff6f7c364670df3f1826133df6ef9529d9b73beebe814dd20255835a38c7eb868f58fa30f067aac44ed8c815f6958a89f29a6be6d8c8031b29541",,"2025-05-19T23:55:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-05-19T23:58:00.000","EQUIPMENT - VEHICLE CONDITION","FAILING TO REDUCE SPEED TO AVOID CRASH","3926","N","ASHLAND AVE","1922",,,,,,,"3","NONINCAPACITATING INJURY","1","0","0","1","0","0","0","23","2","5","41.953266291","-87.6691667928","POINT (-87.669166792768 41.953266291)"
"9d118f8c152629c8d4c93371ec80a44ead26144b8850391103e0566044084394abbf73338a3ebc2abb1370d923bab03af80ad4cb2bcbf6d9314a70663cb81ae8",,"2025-05-19T23:15:00.000","35","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","REAR END","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,"N","$501 - $1,500","2025-05-19T23:23:00.000","FOLLOWING TOO CLOSELY","PHYSICAL CONDITION OF DRIVER","9500","S","STONY ISLAND AVE","511",,,,,,,"2","REPORTED, NOT EVIDENT","2","0","0","0","2","1","0","23","2","5","41.722257273","-87.5852755651","POINT (-87.585275565077 41.722257273006)"
"08d6553c060da826477340087e93e129058d563e55c64e357bf621c76bdfb8d3bb36d25b4d2eb4e13dbe8de145f31a80e02fc52e346e0cfb317d699fd9826caa",,"2025-05-19T22:55:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","PARKED MOTOR VEHICLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","$500 OR LESS","2025-05-19T23:10:00.000","FAILING TO REDUCE SPEED TO AVOID CRASH","NOT APPLICABLE","1960","N","WESTERN AVE","1434",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","1","0","22","2","5","41.9175275852","-87.687555983","POINT (-87.687555982958 41.917527585224)"
"744e43270353f6103e28c4e04cf1c4a0fbbe48c5514a5060ba688a61445e90bce65b412366e69e3456a2b3b36a0005eadfc0ba770f606c4327bf7ebd6920acae",,"2025-05-19T22:42:00.000","20","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","FOUR WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","ON SCENE","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2025-05-19T22:42:00.000","DISREGARDING STOP SIGN","UNABLE TO DETERMINE","2640","N","NARRAGANSETT AVE","2512",,,,,,,"2","NONINCAPACITATING INJURY","2","0","0","2","0","2","0","22","2","5","41.9285627311","-87.7857711641","POINT (-87.785771164063 41.928562731072)"
"dd6b1713aa86993a306aa77b8c62f50497c1bf4256bde4d78750aac8826a60996dfabe4d07655416354ec9f5cbc7e9f60e966f4a019682a056c6137bd6c7c88f",,"2025-05-19T22:30:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS","SIDESWIPE SAME DIRECTION","ONE-WAY",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","NO INJURY / DRIVE AWAY",,,"Y","OVER $1,500","2025-05-19T23:00:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","3820","S","EMERALD AVE","915",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","2","5","41.8246364345","-87.6448928301","POINT (-87.644892830099 41.824636434461)"
"7ddf7597298cc8b3fdf5c7c6572230b20db833676c3706fc0a0d39b3ef8bd7f03d75a799ca5a2a12dccdfb96a9ee769b07ee294a2735a942b7c0bea80f28df3e",,"2025-05-19T22:20:00.000","30","TRAFFIC SIGNAL","UNKNOWN","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","DIVIDED - W/MEDIAN BARRIER",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,"Y","OVER $1,500","2025-05-19T22:26:00.000","UNABLE TO DETERMINE","NOT APPLICABLE","1101","S","CLARK ST","123",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","2","0","22","2","5","41.869061875","-87.6303292362","POINT (-87.630329236156 41.869061875013)"
"75803ad37b35dbe11edcc96a95a4534ba454e08e298c23225ad1a7ef5fc3142b57d9531a097b9535fd2e905f788edf4995ca411566d8da7468096cd7fb887a89",,"2025-05-19T22:09:00.000","30","STOP SIGN/FLASHER","FUNCTIONING PROPERLY","CLEAR","DARKNESS","ANGLE","T-INTERSECTION",,"STRAIGHT AND LEVEL","UNKNOWN","UNKNOWN","ON SCENE","INJURY AND / OR TOW DUE TO CRASH",,,,"OVER $1,500","2025-05-19T22:09:00.000","FAILING TO YIELD RIGHT-OF-WAY","NOT APPLICABLE","4800","S","MICHIGAN AVE","224",,,,,,,"2","NONINCAPACITATING INJURY","1","0","0","1","0","1","0","22","2","5","41.8073730019","-87.6229305547","POINT (-87.622930554709 41.807373001937)"
"37a886eb8ed8a34dd40db9b0e3720ba950f90c59e1c4b1322adeda1710a75e1dcf9df369c3775cc100fd37c43b185794868d188dbb12664c8aaf82bddacdb4f1",,"2025-05-19T22:00:00.000","30","TRAFFIC SIGNAL","FUNCTIONING PROPERLY","CLEAR","DARKNESS, LIGHTED ROAD","ANGLE","DIVIDED - W/MEDIAN (NOT RAISED)",,"STRAIGHT AND LEVEL","DRY","NO DEFECTS","NOT ON SCENE (DESK REPORT)","INJURY AND / OR TOW DUE TO CRASH","Y",,,"OVER $1,500","2025-05-19T23:15:00.000","DISREGARDING TRAFFIC SIGNALS","UNABLE TO DETERMINE","6935","N","SHERIDAN RD","2431",,,,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","2","5","42.0078836441","-87.6615096163","POINT (-87.661509616323 42.007883644073)"
"aba761896d9a2dc9931d73b7870070081116754a61f545bd063b37cb9ebbcf5fc87ec9ce957365d8f8e9bafb25fbd568e77a134416752bd0188aed55eb6bf2c7",,"2025-05-19T22:00:00.000","30","NO CONTROLS","NO CONTROLS","CLEAR","DARKNESS, LIGHTED ROAD","SIDESWIPE SAME DIRECTION","NOT DIVIDED",,"STRAIGHT AND LEVEL","DRY","UNKNOWN","ON SCENE","NO INJURY / DRIVE AWAY",,,,"OVER $1,500","2025-05-19T22:03:00.000","IMPROPER OVERTAKING/PASSING","DRIVING ON WRONG SIDE/WRONG WAY","4602","W","55TH ST","815",,"Y",,,,,"2","NO INDICATION OF INJURY","0","0","0","0","0","3","0","22","2","5","41.7931797882","-87.7381405715","POINT (-87.73814057152 41.793179788213)"
